CIK,company_id,ticker,issuer_name,historical_industry,company_split,filer_class,8-K_count,10-Q_count,10-K_count,6-K_count,20-F_count,total_factual_forms,training_period,source,missingness_policy
1534675,CIK0001534675,TGLS,Tecnoglass Holdings Inc.,Manuf,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,49,12,4,0,0,65,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
923120,CIK0000923120,GBX,GREENBRIER COMPANIES INC,Manuf,LOCKED_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,53,12,4,0,0,69,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
43920,CIK0000043920,GEF,"GREIF, INC",Manuf,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,40,12,4,0,0,56,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
883569,CIK0000883569,FOSL,"Fossil Group, Inc.",Manuf,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,39,12,5,0,0,56,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1318484,CIK0001318484,CTRN,Citi Trends Inc,Shops,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,47,13,5,0,0,65,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
799288,CIK0000799288,LE,"LANDS' END, INC.",Shops,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,29,12,4,0,0,45,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
901491,CIK0000901491,PZZA,PAPA JOHNS INTERNATIONAL INC,Shops,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,67,12,5,0,0,84,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1625414,CIK0001625414,BZUN,Baozun Inc.,Shops,LOCKED_UNSEEN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,47,4,51,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1018724,CIK0001018724,AMZN,AMAZON COM INC,Shops,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,39,12,4,0,0,55,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1177609,CIK0001177609,FIVE,"FIVE BELOW, INC",Shops,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,32,12,4,0,0,48,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1712184,CIK0001712184,LILAK,Liberty Latin America Ltd.,Telcm,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,132,12,5,0,0,149,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1109116,CIK0001109116,EVC,ENTRAVISION COMMUNICATIONS CORP,Telcm,DEV_UNSEEN_COMPANIES,DOMESTIC_REGISTRANT,44,12,4,0,0,60,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1071321,CIK0001071321,TKC,TURKCELL ILETISIM HIZMETLERI A S,Telcm,TRAIN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,212,4,216,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1132924,CIK0001132924,CHT,CHUNGHWA TELECOM CO LTD,Telcm,LOCKED_UNSEEN_COMPANIES,FOREIGN_PRIVATE_ISSUER,0,0,0,104,4,108,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1283699,CIK0001283699,TMUS,"T-Mobile US, Inc.",Telcm,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,100,13,4,0,0,117,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
1428439,CIK0001428439,ROKU,"ROKU, INC",Telcm,TRAIN_COMPANIES,DOMESTIC_REGISTRANT,46,12,4,0,0,62,2018-01-01/2021-12-31,SEC submissions bulk recent arrays plus official overlapping supplemental histories,ZERO_MEANS_NO_MATCHING_FORM_IN_FROZEN_SOURCE_NOT_NO_FACTUAL_DISCLOSURE
