symbol,period,trading_days,days_with_eligible_pre_cutoff_news,news_coverage_fraction,sample_article_count,sample_publisher_count,sample_timestamp_classifiable_fraction,sample_title_available_fraction,sample_body_available_fraction,entity_audit_status,panel_selection_eligible,reason
AAPL,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,212,34,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAV,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,3,3,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AAWW,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,45,10,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
AB,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,18,10,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
ABAC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,4,2,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
ABAX,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,8,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
ABB,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,29,11,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
ABBV,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,74,11,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
BBD,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,125,1,1.0,1.0,1.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
CMG,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,165,1,1.0,1.0,1.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
ENVA,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,101,1,1.0,1.0,1.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HOV,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,3,2,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HP,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,27,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPI,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,1,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPJ,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,1,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPP,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,11,3,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPQ,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,46,6,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPS,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,1,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HPT,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,5,3,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HQH,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,5,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HQY,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,33,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,26,4,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRS,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,23,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRT,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,1,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRTG,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,5,2,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRTX,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,8,4,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HRZN,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,5,3,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HSBC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,35,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HSC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,14,3,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HSGX,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,1,1,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
HSIC,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,15,5,1.0,1.0,0.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
MSTR,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,66,1,1.0,1.0,1.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
TM,2018-01-01/2021-12-31,NOT_COMPUTED_WITHOUT_PANEL,UNAVAILABLE_FROM_RANGE_SAMPLE,UNAVAILABLE_FROM_RANGE_SAMPLE,33,1,1.0,1.0,1.0,PROVISIONAL_SAMPLE_ONLY,False,Bounded byte-range sample is not a complete stock/day census.
